Name,Alternate Names,Population,Timezone,Geo_lat,Geo_long,km_to_moscow
Abadzekhskaya,"Abadsechskaja,Abadzechskaja,Abadzehskaya,Abadzejskaya,Abadzekhs'ka,Abadzekhskaia,Abadzekhskaja,Abadzekhskaya,Abadzekhski,Abadzéjskaya,Abadzékhskaia,abadzkhskaya,abadzykskaya  adyghya,Абадзехская,Абадзехски,Абадзехська,آبادزخسکایا,أبادزيكسكايا، أديغيا",4010,3.0,44.39389,40.22139,1276.37
Abagur,"Abagur,Abinskaya,Абагур",6530,7.0,53.7308,87.2526,3125.43
Abakan,"ABA,Abakan,Abakan shaary,Abakana,Abakanas,Abakanskoye,Abakán,Agban,Ampakan,a ba kan,abakan,abakana,Αμπακάν,Абакан,Абакан шаары,Ағбан,Աբական,آباکان,أباكان,اباکان,अबाकान,ਅਬਾਕਾਨ,アバカン,阿巴坎,아바칸,Абакан",184168,7.0,53.71556,91.42917,3374.74
Abalak,"Abalak,Abalakskoye,Абалак",13555,5.0,58.12861,68.59444,1880.51
Aban,"Aban,Alban,aban  krasnwyarsk dyary,aban  krasnwyarsk kray,abani,Абан,آبان، کراسنویارسک دیاری,أبان، كراسنويارسك كراي,აბანი",9670,7.0,56.6787,96.0658,3504.61
Abatskoye,"Abatskij,Abatskiy,Abatskoe,Abatskoye,Абатский,Абатское",8195,5.0,56.28748,70.45553,2022.39
Abaza,"Abasa,Abaz,Abaza,Abazá,a ba zha,abaza,abaza shhr,Абаза,آبازا,آبازا،شهر,أبازا,ابازا,ਅਬਾਜ਼ਾ,阿巴扎,Абаза",18094,7.0,52.655,90.09278,3347.83
Abdulino,"Abdoulino,Abdulina,Abdulinas,Abdulino,Abdulla,Abduļina,Abdúlino,a bo du li nuo,abadulino,abdullino,abdwlynw,abeudullino,Абдулино,Абдулла,Абдуліна,Абдуліно,آبدولینو,أبدولينو,ابدولینو,ਅਬਦੂਲੀਨੋ,阿卜杜利诺,아브둘리노,압둘리노,Абдулино",21195,5.0,53.7,53.66667,1053.08
Abinsk,"Abins'k,Abinsk,Abinska,Abinskas,Abinskaya,Abinskiy,Abińsk,a bin si ke,abinseukeu,abisaka,abynsk,Абинск,Абинск балһсн,Абінск,Абінськ,آبینسک,أبينسك,ابینسک,ਅਬਿੰਸਕ,阿宾斯克,아빈스크,Абинск",34926,3.0,44.8679655,38.1618157,1210.89
Abram Mys,"Abram Mys,Abram-Mys,Goryacheva,Goryachëva,Poselok Goryacheva,Posëlok Goryacheva,Varjazhskij Ruchej,Абрам Мыс,Абрам-Мыс,Варяжский Ручей",2000,3.0,68.97839,33.01926,1488.65
Abramovka,"Abramovka,Abramowka,abramwfka  fwrwnyj awblast,Абрамовка,أبراموفكا، فورونيج أوبلاست",3396,3.0,51.1886,41.0202,555.07
Abrau-Dyurso,"Abrau-Djurso,Abrau-Dyurso,Абрау-Дюрсо",3000,3.0,44.69973,37.60098,1228.98
Abzakovo,"Abzakova,Abzakovo,Абзаково",3600,5.0,53.82861,58.59333,1356.41
Achikulak,"Achikulak,Achikulakskoye,Atsjikulak,Ачикулак",7040,3.0,44.55167,44.83778,1345.82
Achinsk,"ACS,Achins'k,Achinsk,Achynsk,Acinsk,Acinska,Acinskas,Aczynsk,Aczyńsk,Atchinsk,Atjinsk,Atschinsk,Atsinsk,Atsjinsk,Atxinsk,Atšinsk,Açinsk,Aĉinsk,Ačinsk,Ačinska,Ačinskas,a qin si ke,achinseukeu,achinsuku,achynsk,akisaka,atshynsk,Àtxinsk,Áchinsk,Ачинск,Ачинськ,Ачынск,آچینسک,أتشينسك,اچینسک,ਅਕਿੰਸਕ,アチンスク,阿钦斯克,아친스크,Ачинск",117634,7.0,56.2694,90.4993,3206.05
Achisu,"Achi,Achisu,Ачи,Ачису",1737,3.0,42.65197,47.68282,1626.15
