Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
461920;Zvenigorod;Zvenigorod;Svenigorod,Swenigorod,Zvenigorod,Zveniqorod,Zvenígorod,Zwienigorod,Zwjenigorod,ci wei ni ge luo de,jeubenigolodeu,zfynyghwrwd,zuvuenigorodo,zwnygwrwd,zwynygrwd,Звенигород,Звенигород балһсн,زفينيغورود,زونیگورود,زوینیگرود,ズヴェニゴロド,兹韦尼哥罗德,즈베니고로드;P;PPL;RU;Russian Federation;;47;;;;16395;;178;Europe/Moscow;2012-01-17;Russian Federation;55.73401, 36.85918
462008;Zubtsov;Zubtsov;Subzow,Zoebtsov,Zoubtsov,Zubcou,Zubcov,Zubcow,Zubtsov,Zupcov,jubchopeu,zu bu zuo fu,zubutsuofu,zwbtswf,Зубцов,Зубцоў,Зупцов,زوبتسوف,ズブツォフ,祖布佐夫,줍초프;P;PPLA2;RU;Russian Federation;;77;;;;7397;;157;Europe/Moscow;2023-05-11;Russian Federation;56.17533, 34.58935
462240;Zol’noye;Zol'noye;Zol'noe,Zol'noye,Zolnoje,Zol’noye,Зольное;P;PPL;RU;Russian Federation;;65;;;;1614;;97;Europe/Samara;2017-09-11;Russian Federation;53.4421, 49.7978
462352;Znamenka;Znamenka;Kukuyevka,Znamenka,Знаменка;P;PPL;RU;Russian Federation;;56;;;;11995;;157;Europe/Moscow;2014-06-27;Russian Federation;52.89789, 35.97703
462984;Zhirnovsk;Zhirnovsk;Zhirnovoye,Zhirnovsk,Zhirnovskiy,Zhirnoye,Zjirnovsk,Жирновск;P;PPL;RU;Russian Federation;;84;;;;17887;;134;Europe/Volgograd;2014-06-26;Russian Federation;50.98448, 44.77347
463690;Zemlyansk;Zemlyansk;Zemljansk,Zemlyansk,Землянск;P;PPL;RU;Russian Federation;;86;;;;3111;;186;Europe/Moscow;2012-01-17;Russian Federation;51.9041, 38.7334
468747;Yashkul’;Yashkul';Jaschkul,Jashkul',Jasjkul,Peschanoye,Yashkul',Yashkuly,Yashkul’,Яшкуль;P;PPL;RU;Russian Federation;;24;;;;7203;;-11;Europe/Moscow;2020-06-10;Russian Federation;46.1711, 45.3435
468782;Yasenskaya;Yasenskaya;Iasenskaia,Jasenskaja,Stanitsa Yasenskaya,Yasenka,Yasenskaya,Ясенская;P;PPL;RU;Russian Federation;;38;;;;4855;;16;Europe/Moscow;2022-05-20;Russian Federation;46.35753, 38.26863
470212;Vysokaya Gora;Vysokaya Gora;Vysokaja Gora,Vysokaya Gora,Высокая Гора;P;PPL;RU;Russian Federation;;73;;;;8013;;102;Europe/Moscow;2012-01-17;Russian Federation;55.91278, 49.30167
470676;Vyaz’ma;Vyaz'ma;Vjaz'ma,Vjazma,Vyasma,Vyaz'ma,Vyazma,Vyaz’ma,Wjasma,Вязьма;P;PPLA2;RU;Russian Federation;;69;;;;55500;;246;Europe/Moscow;2023-02-10;Russian Federation;55.20997, 34.29695
472494;Volodarsk;Volodarsk;Valadarsk,Volodarsk,Volodarskas,Volodary,Wolodarsk,Wołodarsk,Zolodary,fwlwdarsk,wo luo da er si ke,wwlwdarsk  rwsyh,Валадарск,Володарск,فولودارسك,وولودارسک، روسیه,沃洛達爾斯克;P;PPLA2;RU;Russian Federation;;51;472482;;;10862;;88;Europe/Moscow;2023-12-11;Russian Federation;56.22547, 43.17585
